id,entry_date,inventory_number,author,title,publisher,city,year,category_id,call_number_author,call_number_title,category_name,source,quantity,status
1,19-4-2023,01/SMPN3 KDR/2023,RPUL BUANA RAYA ,RANGKUMAN PENGETAHUAN UMUM,RPUL BUANA RAYA ,JAKARTA,2014,000,BUA,RPA,KARYA UMUM,DAK203,1,BAIK
2,19-4-2023,02/SMPN3 KDR/2023,TIM CBM,MENJELAJAH SUNGAI NIL,NUANSA CITRA DRAFIKA,JAKARTA,2008,001,TIM,MEN,ILMU PENGETAHUAN UMUM,DAK203,1,BAIK
3,19-4-2023,03/SMPN3 KDR/2023,HENDY HERMAWAN ,GURU MENULIS, CITRA PRAYA,BANDUNG,2006,070,HEN,GUR,JURNALISM ,DAK203,1,BAIK
4,19-4-2023,04-05/SMPN3 KDR/2023,SUHARNO WIDI NUGROHO ST,MENGENAL LEMBAR KERJA MS EKCEL,BSD MIPA,JAKARTA,2010,004,SUH,MEN ,PENGOLAHAN DATA ILMU KOMPUTER ,DAK203,2,BAIK
5,19-4-2023,06-07/SMPN3 KDR/2023,SANYO SAPUTRA,MENGGAMBAR DENGAN MICROSOFT PAINT,EXACT GANECA,JAKARTA,2007,004,SAN,MEN,PENGOLAHAN DATA ILMU KOMPUTER ,DAK203,2,BAIK
6,19-4-2023,08-09/SMPN3 KDR/2023,DIKY RACHMAT DAN YUSUF SOBARI,COREL DRAW,TIGA SERANGKAI ,BANDUNG,2009,006,DIK,COR,METODE KHUSUS KOMPUTER,DAK203,2,BAIK
7,19-4-2023,10/SMPN3 KDR/2023,ZAINAL ARIFIN,MEMBUAT DOKUMEN SEDERHANA MENGGUNAKAN WORD 2007, BINAMUDA CIPTAKREASI,DEPOK,2015,005.3,ZAI,MEM,PEMROGRAMAN KOMPUTER ,DAK203,1,BAIK
8,19-4-2023,11/SMPN3 KDR/2023,BUDI SUPRIYANTO,SELAYAN PANDANG INSTRUMEN MUSIK TRADISIONAL INDONESIA,AZKA PRESS,JAKARTA,2009,001,BUD,SEL,ILMU PENGETAHUAN UMUM,DAK203,1,BAIK
9,19-4-2023,12/SMPN3 KDR/2023,A. SOLIHAT,MENGGUNAKAN INTERNET,GAZA PUBLISHING ,BANDUNG,2014,004,ASO,MEN,PENGOLAHAN DATA ILMU KOMPUTER ,DAK203,1,BAIK
10,19-4-2023,13-14/SMPN3 KDR/2023,MUHAMMAD ZAKI,KEGEMARANKU,SARANA PANCA KARYA NUSA,BANDUNG,2009,001.1,MUH,KEG,ILMU PENGETAHUAN UMUM,DAK203,2,BAIK
11,19-4-2023,16/SMPN3 KDR/2023,VIVI VIBARIANI,MENGENAL MUSEUM, WIDYA DUTA GRAFIKA,BANDUNG,2007,069,VIV,MEN,MUSEOLOGI,DAK203,1,BAIK
12,19-4-2023,17/SMPN3 KDR/2023,SAM.S.WARIB,BUKU PINTAR BERPRESTASI,BINTANG USAHA JAYA,,nan,001,SAM,BUK,ILMU PENGETAHUAN UMUM,DAK203,1,BAIK
13,19-4-2023,19/SMPN3 KDR/2023,VARUNI DIAN W,POHON DALAM PERUT, ERA ADICITRA INTERMEDIA,SOLO,2010,002,VAR,POH,"SEJARAH,DESKRIPSI,PENILAIAN ",DAK203,1,BAIK
14,19-4-2023,20-21/SMPN3 KDR/2023,ZAINAL ARIFIN,MENGOPRASIKAN KOMPUTER, PIJAR,TANGERANG,2009,004,ZAI,MENG,PENGOLAHAN DATA ILMU KOMPUTER ,DAK203,2,BAIK
15,19-4-2023,22/SMPN3 KDR/2023,S.ROSITAWATY,ALAM SEMESTA, GRAFINDO MEDIA PRATAMA,JAKARTA,2006,031,SRO,ALA,ENSIKLOPEDIA BAHASA INDONESIA ,DAK203,1,BAIK
16,19-4-2023,23-25/SMPN3 KDR/2023,EDI WARSIDI,RESENSI BUKU,MITRA UTAMA,BEKASI,2008,002,EDI,RES,"SEJARAH,DESKRIPSI,PENILAIAN ",DAK203,3,BAIK
17,19-4-2023,26/SMPN3 KDR/2023,YULIA,DASAR PRAKTIS MICROSOFT EXEL,TIGA SERANGKAI ,BANDUNG,2009,003.3,YUL,DAS,SISTEM SIMULASI KOMPUTER,DAK203,1,BAIK
