Tanggal Masuk,No Inventaris,Penyusun,Judul Buku,Penerbit,Kota Terbit,Tahun Terbit,Call Number Klasifikasi,Call Number Penyusun,Call Number Klasifikasi Judul,Asal,Eks,Status
19-04-2023,01/SMPN3 KDR/2023,RPUL BUANA RAYA ,RANGKUMAN PENGETAHUAN UMUM,RPUL BUANA RAYA ,JAKARTA,2014,000,BUA,RPA,DAK203,1,BAIK
19-04-2023,02/SMPN3 KDR/2023,TIM CBM,MENJELAJAH SUNGAI NIL,NUANSA CITRA DRAFIKA,JAKARTA,2008,001,TIM,MEN,DAK203,1,BAIK
19-04-2023,03/SMPN3 KDR/2023,HENDY HERMAWAN ,GURU MENULIS, CITRA PRAYA,BANDUNG,2006,070,HEN,GUR,DAK203,1,BAIK
19-04-2023,04-05/SMPN3 KDR/2023,SUHARNO WIDI NUGROHO ST,MENGENAL LEMBAR KERJA MS EKCEL,BSD MIPA,JAKARTA,2010,004,SUH,MEN ,DAK203,2,BAIK
19-04-2023,06-07/SMPN3 KDR/2023,SANYO SAPUTRA,MENGGAMBAR DENGAN MICROSOFT PAINT,EXACT GANECA,JAKARTA,2007,004,SAN,MEN,DAK203,2,BAIK
19-04-2023,08-09/SMPN3 KDR/2023,DIKY RACHMAT DAN YUSUF SOBARI,COREL DRAW,TIGA SERANGKAI ,BANDUNG,2009,006,DIK,COR,DAK203,2,BAIK
19-04-2023,10/SMPN3 KDR/2023,ZAINAL ARIFIN,MEMBUAT DOKUMEN SEDERHANA MENGGUNAKAN WORD 2007, BINAMUDA CIPTAKREASI,DEPOK,2015,005.3,ZAI,MEM,DAK203,1,BAIK
19-04-2023,11/SMPN3 KDR/2023,BUDI SUPRIYANTO,SELAYAN PANDANG INSTRUMEN MUSIK TRADISIONAL INDONESIA,AZKA PRESS,JAKARTA,2009,001,BUD,SEL,DAK203,1,BAIK
19-04-2023,12/SMPN3 KDR/2023,A. SOLIHAT,MENGGUNAKAN INTERNET,GAZA PUBLISHING ,BANDUNG,2014,004,ASO,MEN,DAK203,1,BAIK
19-04-2023,13-14/SMPN3 KDR/2023,MUHAMMAD ZAKI,KEGEMARANKU,SARANA PANCA KARYA NUSA,BANDUNG,2009,001.1,MUH,KEG,DAK203,2,BAIK
19-04-2023,16/SMPN3 KDR/2023,VIVI VIBARIANI,MENGENAL MUSEUM, WIDYA DUTA GRAFIKA,BANDUNG,2007,069,VIV,MEN,DAK203,1,BAIK
19-04-2023,17/SMPN3 KDR/2023,SAM.S.WARIB,BUKU PINTAR BERPRESTASI,BINTANG USAHA JAYA,,,001,SAM,BUK,DAK203,1,BAIK
19-04-2023,19/SMPN3 KDR/2023,VARUNI DIAN W,POHON DALAM PERUT, ERA ADICITRA INTERMEDIA,SOLO,2010,002,VAR,POH,DAK203,1,BAIK
19-04-2023,20-21/SMPN3 KDR/2023,ZAINAL ARIFIN,MENGOPRASIKAN KOMPUTER, PIJAR,TANGERANG,2009,004,ZAI,MENG,DAK203,2,BAIK
